starttime,endtime,cameraid,DeviceTemperature,AcquisitionFrameRate,ExposureTime,PixelFormat
1699705712582,1699705763221,1,43,12.9705,5012.93,-4.95062e+136
1699705766642,1699705816886,1,43.7,12.9705,9987,7.54089e-205
1699705818407,1699705869068,1,44,12.9705,14999.9,-4.38075e+258
1699705870556,1699705921453,1,44.5,12.9705,20012.8,8.06238e-55
1699705923000,1699705973029,1,44.7,12.9705,24986.9,1.09402e+147
1699705974613,1699706024480,1,45,12.9705,29999.8,2.6323e+100
1699706025981,1699706076092,1,45.2,12.9705,35012.8,-4.54008e-128
1699706077898,1699706129730,1,45.2,12.9705,39986.8,1.72189e-192
1699706131457,1699706181613,1,45.5,12.9705,44999.8,-7.52477e-177
1699706183162,1699706232832,1,45.7,12.9705,50012.7,4.7851e+68
1699706234422,1699706284314,1,46,12.9705,54986.8,5.35549e+126
1699706285941,1699706335766,1,46.2,12.9705,59999.7,4.48282e+203
1699706337263,1699706387221,1,46.2,12.9705,65012.6,-3.44312e+277
1699706388758,1699706439037,1,46.5,12.9705,69986.7,-1.0293e+174
1699706440624,1699706491400,1,46.5,12.9705,74999.6,2.21659e+170
1699706493006,1699706529763,1,46.5,12.4738,80012.5,-11160.9
1699706531775,1699706568602,1,46.5,11.745,84986.6,-1.90144e+214
1699706570151,1699706608105,1,46.5,11.092,89999.5,-1.26309e+56
1699706609639,1699706647886,1,46.7,10.5077,95012.5,1.19692e-131
1699706649672,1699706688197,1,46.7,9.9858,99986.5,-5.2412e+283
1699706689724,1699706728588,1,46.7,9.50976,104999,1.02214e+132
1699706730673,1699706770304,1,47,9.07704,110012,4.7913e-223
1699706772130,1699706812441,1,47,8.68492,114986,1.39278e+177
1699706814012,1699706854513,1,47,8.32258,119999,1.0013e-220
1699706856062,1699706896765,1,47,7.98926,125012,3.5412e-80
1699706898312,1699706939552,1,47,7.68391,129986,-4.06219e+241
1699706941110,1699706983197,1,47.2,7.39891,134999,-8.9906e+165
1699706984929,1699707027631,1,47.2,7.1343,140012,0.214763
1699707029162,1699707072183,1,47.2,6.88981,144986,1.86486e+161
1699707073778,1699707117299,1,47.5,6.65979,149999,9.17511e+285
1699707118812,1699707163057,1,47.5,6.44463,155012,7.90345e+242
1699707164598,1699707209498,1,47.5,6.24446,159986,3.84322e+113
